Company,Product,TypeName,Inches,Ram,OS,Weight,Price,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,0.6626506024096387,0.0967741935483871,Windows 10,0.3042394014962594,0.08185654008438818,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Apple,MacBook Air,Ultrabook,0.385542168674699,0.0967741935483871,Mac OS X,0.16458852867830429,0.15611814345991562,Standard,0.029911075181891674,0.09482758620689655,No,No,No,Intel,0.25925925925925924,Core i5,0.058823529411764705,0.0,Flash Storage,No,Intel,HD Graphics 6000
Dell,Inspiron 5570,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.3765586034912719,0.10565400843881856,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,AMD,Radeon 530
Chuwi,"LapBook 15.6""",Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.29925187032418954,0.01198143459915612,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.19999999999999996,Atom x5-Z8300,0.027450980392156862,0.0,Flash Storage,No,Intel,HD Graphics
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,0.4698795180722893,0.0,Windows 10,0.23940149625935161,0.004219409282700422,Standard,0.0,0.0,No,No,No,AMD,0.2222222222222222,E-Series E2-6110,0.011764705882352941,0.0,Flash Storage,No,AMD,Radeon R2
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,0.8674698795180725,0.03225806451612903,Windows 10,0.5037406483790524,0.04472573839662447,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,AMD,0.5925925925925926,A6-Series 9220,0.2411764705882353,0.0,HDD,No,AMD,Radeon 530
Apple,MacBook Air,Ultrabook,0.385542168674699,0.0967741935483871,Mac OS X,0.16458852867830429,0.1390717299578059,Standard,0.029911075181891674,0.09482758620689655,No,No,No,Intel,0.25925925925925924,Core i5,0.12156862745098039,0.0,Flash Storage,No,Intel,HD Graphics 6000
HP,ProBook 450,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.3516209476309227,0.1189873417721519,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce 930MX 
Acer,Aspire A515-51G,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3765586034912719,0.08573839662447258,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
Lenovo,IdeaPad 320-15ISK,Notebook,0.6626506024096387,0.03225806451612903,No OS,0.3765586034912719,0.03291139240506329,Standard,0.0,0.0,No,No,No,Intel,0.40740740740740744,Core i3 6006U,0.058823529411764705,0.0,SSD,No,Intel,HD Graphics 520
Dell,Inspiron 3567,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.4014962593516209,0.07848101265822785,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,AMD,Radeon R5 M430
Acer,Aspire A515-51G,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.3765586034912719,0.11257383966244726,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce MX150
HP,255 G6,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.2917705735660848,0.03788860759493671,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,AMD,0.5925925925925926,A6-Series 9220,0.12156862745098039,0.0,SSD,No,AMD,Radeon R4 Graphics
HP,ProBook 430,Notebook,0.385542168674699,0.0967741935483871,Windows 10,0.19950124688279303,0.15679324894514768,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.3333333333333333,Core i7 8550U,0.24705882352941178,0.0,SSD,No,Intel,UHD Graphics 620
Dell,Inspiron 3576,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.35910224438902744,0.10021940928270041,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,AMD,Radeon 520
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3042394014962594,0.04472573839662447,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.40740740740740744,Core i3 6006U,0.058823529411764705,0.0,SSD,No,Intel,HD Graphics 520
Asus,VivoBook Max,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3266832917705736,0.06956793248945149,Standard,0.0,0.0,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,0.6626506024096387,0.03225806451612903,Linux,0.3266832917705736,0.040675105485232066,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.40740740740740744,Core i3 6006U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 520
Dell,Vostro 5471,Ultrabook,0.4698795180722893,0.0967741935483871,Windows 10,0.2518703241895262,0.1189873417721519,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
Lenovo,IdeaPad 520S-14IKB,Notebook,0.4698795180722893,0.0967741935483871,No OS,0.2518703241895262,0.07172995780590717,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.6666666666666667,Core i3 7130U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,0.4698795180722893,0.0967741935483871,Windows 10,0.1770573566084788,0.12945147679324895,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
HP,250 G6,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.2917705735660848,0.08708860759493671,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
HP,250 G6,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.2917705735660848,0.04467341772151899,Standard,0.0,0.0,No,No,No,Intel,0.40740740740740744,Core i3 6006U,0.2411764705882353,0.0,HDD,No,AMD,Radeon 520
HP,Stream 14-AX040wm,Notebook,0.4698795180722893,0.03225806451612903,Windows 10,0.18703241895261846,0.009282700421940928,Standard,0.0,0.0,No,No,No,Intel,0.25925925925925924,Celeron Dual Core N3060,0.011764705882352941,0.0,SSD,No,Intel,HD Graphics 400
Microsoft,Surface Laptop,Ultrabook,0.40963855421686757,0.03225806451612903,Windows 10 S,0.14014962593516211,0.15443037974683543,Standard,0.3597413096200485,0.5287356321839081,Yes,No,No,Intel,0.5925925925925926,Core i5 7200U,0.058823529411764705,0.0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 5370,Ultrabook,0.385542168674699,0.0967741935483871,Windows 10,0.1770573566084788,0.1318143459915612,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,AMD,Radeon 530
Dell,Inspiron 5570,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.3765586034912719,0.11746835443037974,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,AMD,Radeon 530
Dell,Latitude 5590,Ultrabook,0.6626506024096387,0.0967741935483871,Windows 10,0.2967581047381546,0.15563881856540085,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
Apple,"MacBook 12""",Ultrabook,0.22891566265060248,0.0967741935483871,macOS,0.05735660847880302,0.22548523206751056,Standard,0.3791430881164107,0.4827586206896552,No,Yes,Yes,Intel,0.14814814814814814,Core i5,0.24705882352941178,0.0,SSD,No,Intel,HD Graphics 615
HP,ProBook 440,Notebook,0.4698795180722893,0.0967741935483871,Windows 10,0.2344139650872818,0.11578059071729958,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15AST,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3765586034912719,0.0379746835443038,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,AMD,0.5925925925925926,A6-Series 9220,0.058823529411764705,0.0,SSD,No,AMD,R4 Graphics
HP,Pavilion 15-CK000nv,Ultrabook,0.6626506024096387,0.0967741935483871,Windows 10,0.2842892768079801,0.08860759493670886,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce GTX 940MX
HP,250 G6,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.31670822942643395,0.07172827004219409,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Dell,XPS 13,Ultrabook,0.385542168674699,0.0967741935483871,Windows 10,0.12967581047381546,0.2489451476793249,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
Dell,Inspiron 7577,Gaming,0.6626506024096387,0.0967741935483871,Windows 10,0.4887780548628429,0.17232067510548524,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.5925925925925926,Core i5 7300HQ,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce GTX 1060
Asus,Zenbook UX430UA,Ultrabook,0.4698795180722893,0.0967741935483871,Windows 10,0.13965087281795513,0.14767932489451477,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.6666666666666667,Core i7 7500U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Acer,Spin 5,2 in 1 Convertible,0.385542168674699,0.0967741935483871,Windows 10,0.20199501246882795,0.11358649789029536,Full HD,0.22392886014551333,0.22413793103448276,Yes,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
Dell,Inspiron 3567,Notebook,0.6626506024096387,0.03225806451612903,Linux,0.3765586034912719,0.05248945147679325,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.40740740740740744,Core i3 6006U,0.12156862745098039,0.0,SSD,No,AMD,Radeon R5 M430
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,0.6626506024096387,0.06451612903225806,Windows 10,0.3266832917705736,0.0680168776371308,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.5555555555555555,Core i3 7100U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce 920M
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.3042394014962594,0.0919831223628692,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.6666666666666667,Core i7 7500U,0.12156862745098039,0.0,SSD,No,AMD,Radeon 530
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3516209476309227,0.029535864978902954,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,AMD,0.2222222222222222,E-Series E2-9000e,0.2411764705882353,0.0,HDD,No,AMD,Radeon R2
HP,Envy 13-ad009n,Ultrabook,0.385542168674699,0.0967741935483871,Windows 10,0.17206982543640897,0.15949367088607594,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.6666666666666667,Core i7 7500U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce MX150
Microsoft,Surface Laptop,Ultrabook,0.40963855421686757,0.0967741935483871,Windows 10 S,0.14014962593516211,0.1967932489451477,Standard,0.3597413096200485,0.5287356321839081,Yes,No,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
HP,Pavilion 14-BK001nv,Notebook,0.4698795180722893,0.06451612903225806,Windows 10,0.2219451371571073,0.08185654008438818,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce 940MX
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,0.4698795180722893,0.0967741935483871,Windows 10,0.15211970074812972,0.1719831223628692,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.6666666666666667,Core i7 7500U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce 940MX
Lenovo,Thinkpad T470,Notebook,0.4698795180722893,0.0967741935483871,Windows 10,0.2219451371571073,0.22042194092827005,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.6666666666666667,Core i7 7500U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Lenovo,ThinkPad Yoga,2 in 1 Convertible,0.385542168674699,0.0967741935483871,Windows 10,0.1695760598503741,0.20675105485232068,Full HD,0.22392886014551333,0.22413793103448276,Yes,Yes,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
HP,Probook 440,Notebook,0.4698795180722893,0.03225806451612903,Windows 10,0.2344139650872818,0.09248945147679324,Standard,0.0,0.0,No,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.2411764705882353,0.0,HDD,No,Intel,UHD Graphics 620
Dell,XPS 13,Ultrabook,0.385542168674699,0.0967741935483871,Windows 10,0.12967581047381546,0.24556962025316456,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
HP,Spectre x360,2 in 1 Convertible,0.385542168674699,0.0967741935483871,Windows 10,0.14214463840399005,0.20674936708860758,Full HD,0.22392886014551333,0.22413793103448276,Yes,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
HP,Probook 440,Notebook,0.4698795180722893,0.0967741935483871,Windows 10,0.2344139650872818,0.15358649789029535,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.3333333333333333,Core i7 8550U,0.24705882352941178,0.0,SSD,No,Intel,UHD Graphics 620
Asus,VivoBook S15,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.2518703241895262,0.15932489451476795,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce 940MX
Lenovo,IdeaPad 320-15IKBN,Notebook,0.6626506024096387,0.0967741935483871,No OS,0.3765586034912719,0.07679324894514768,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce 940MX
Acer,Aspire 3,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3516209476309227,0.04675105485232067,Standard,0.0,0.0,No,No,No,AMD,0.7777777777777778,A9-Series 9420,0.12156862745098039,0.0,SSD,No,AMD,Radeon R5
HP,250 G6,Notebook,0.6626506024096387,0.03225806451612903,No OS,0.2917705735660848,0.014345991561181435,Standard,0.0,0.0,No,No,No,Intel,0.25925925925925924,Celeron Dual Core N3060,0.2411764705882353,0.0,HDD,No,Intel,HD Graphics 400
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,0.4698795180722893,0.03225806451612903,Windows 10 S,0.23940149625935161,0.017551054852320676,Standard,0.0,0.0,No,No,No,AMD,0.2222222222222222,E-Series 6110,0.027450980392156862,0.0,SSD,No,AMD,Radeon R2
HP,ProBook 470,Notebook,0.8674698795180725,0.0967741935483871,Windows 10,0.45137157107231923,0.12725738396624472,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
Acer,Swift 3,Ultrabook,0.4698795180722893,0.0967741935483871,Windows 10,0.2269326683291771,0.11983122362869199,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
Acer,Aspire A515-51G-37JS,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3765586034912719,0.06717299578059072,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.6666666666666667,Core i3 7130U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce MX130
HP,Probook 440,Notebook,0.4698795180722893,0.0967741935483871,Windows 10,0.2344139650872818,0.13738396624472574,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
HP,Envy 13-AD007nv,Notebook,0.385542168674699,0.03225806451612903,Windows 10,0.15710723192019954,0.08860759493670886,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Lenovo,ThinkPad E480,Notebook,0.4698795180722893,0.0967741935483871,Windows 10,0.26433915211970077,0.15899071729957806,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,AMD,Radeon RX 550
Lenovo,Legion Y520-15IKBN,Gaming,0.6626506024096387,0.0967741935483871,No OS,0.4264339152119701,0.11729957805907174,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.7037037037037036,Core i7 7700HQ,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce GTX 1050M
Toshiba,Satellite Pro,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3516209476309227,0.07223628691983122,Standard,0.0,0.0,No,No,No,Intel,0.5185185185185185,Core i5 6200U,0.2411764705882353,0.0,HDD,No,Intel,HD Graphics 520
HP,255 G6,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.2917705735660848,0.03291139240506329,Standard,0.0,0.0,No,No,No,AMD,0.5925925925925926,A6-Series 9220,0.12156862745098039,0.0,SSD,No,AMD,Radeon R4 Graphics
Asus,ZenBook UX430UA,Ultrabook,0.4698795180722893,0.0967741935483871,Windows 10,0.13965087281795513,0.15611814345991562,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.30174563591022446,0.05468354430379747,Standard,0.0,0.0,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.058823529411764705,0.0,SSD,No,Intel,HD Graphics 620
HP,EliteBook 840,Ultrabook,0.4698795180722893,0.03225806451612903,Windows 10,0.19700748129675813,0.15324894514767934,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.6666666666666667,Core i5 7500U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,0.6626506024096387,0.06451612903225806,Windows 10,0.3042394014962594,0.0751054852320675,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,AMD,Radeon 520
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,0.4698795180722893,0.03225806451612903,Windows 10,0.26184538653366585,0.07679324894514768,Full HD,0.22392886014551333,0.22413793103448276,Yes,Yes,No,Intel,0.5555555555555555,Core i3 7100U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Asus,ZenBook Flip,2 in 1 Convertible,0.385542168674699,0.0967741935483871,Windows 10,0.10224438902743146,0.19257383966244726,Full HD,0.22392886014551333,0.22413793103448276,Yes,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 5579,2 in 1 Convertible,0.6626506024096387,0.0967741935483871,Windows 10,0.21695760598503744,0.14767932489451477,Full HD,0.22392886014551333,0.22413793103448276,Yes,No,No,Intel,0.3333333333333333,Core i7 8550U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
Toshiba,Satellite Pro,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3516209476309227,0.04607594936708861,Standard,0.0,0.0,No,No,No,Intel,0.48148148148148157,Core i3 6006U,0.2411764705882353,0.0,HDD,No,Intel,HD Graphics 520
Acer,Aspire A517-51G,Notebook,0.8674698795180725,0.03225806451612903,Windows 10,0.5760598503740649,0.10649789029535865,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce MX150
Dell,Inspiron 3576,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.35910224438902744,0.09350210970464135,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,AMD,Radeon 520
Acer,Aspire A517-51G,Notebook,0.8674698795180725,0.0967741935483871,Windows 10,0.5760598503740649,0.11476793248945148,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce MX150
HP,ProBook 430,Notebook,0.385542168674699,0.03225806451612903,Windows 10,0.19950124688279303,0.09789029535864979,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.2411764705882353,0.0,HDD,No,Intel,UHD Graphics 620
Huawei,MateBook X,Ultrabook,0.34939759036144585,0.0967741935483871,Windows 10,0.08977556109725689,0.19831223628691982,Full HD,0.32093775262732416,0.4827586206896552,No,Yes,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15AST,Notebook,0.6626506024096387,0.03225806451612903,No OS,0.3765586034912719,0.02278481012658228,Standard,0.0,0.0,No,No,No,AMD,0.7407407407407407,A6-Series 9220,0.2411764705882353,0.0,HDD,No,AMD,Radeon R4 Graphics
Toshiba,Satellite Pro,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3266832917705736,0.053164556962025315,Standard,0.0,0.0,No,No,No,Intel,0.5555555555555555,Core i3 7100U,0.2411764705882353,0.0,HDD,No,Intel,HD Graphics 620
HP,ProBook 470,Notebook,0.8674698795180725,0.0967741935483871,Windows 10,0.45137157107231923,0.12641350210970465,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Nvidia,GeForce 930MX
