Company,Model,Laptop,Screen Size,RAM,OS,Weight,Screen,Screen Width,Screen Height,CPU Company,CPU Frequency,CPU Model,Primary Storage,Secondary Storage,Primary Storage Type,GPU Company,GPU Model,Price
0,25,3,15.6,4,5,2.1,3,1366,768,1,2.5,33,256,0,3,2,45,712.81
0,25,3,15.6,6,5,2.1,3,1366,768,0,3.0,6,1024,0,1,0,68,486.71
8,280,3,15.6,4,5,1.8,1,1920,1080,1,1.6,38,256,0,3,2,80,986.51
9,89,1,14.0,16,5,1.6,1,1920,1080,1,2.8,50,256,1024,3,3,16,2250.29
6,19,3,15.6,4,4,1.86,1,1920,1080,1,2.0,24,500,0,1,2,41,410.54
2,69,3,15.6,8,5,2.5,1,1920,1080,1,2.5,34,128,1024,3,3,13,998.41
8,101,3,15.6,12,5,2.2,1,1920,1080,0,3.6,2,512,0,3,0,61,1129.31
4,151,4,12.5,8,5,1.36,1,1920,1080,1,2.5,33,256,0,3,2,34,1751.92
8,111,3,15.6,8,5,2.2,1,1920,1080,1,2.5,40,1024,0,1,3,10,796.11
4,131,0,15.6,8,5,2.08,1,1920,1080,1,1.8,54,1024,0,1,2,80,974.61
4,131,0,15.6,8,5,2.67,1,1920,1080,1,1.6,38,256,0,3,2,80,950.81
8,303,0,15.6,4,5,2.1,1,1920,1080,1,2.3,29,256,0,3,2,41,1031.73
8,251,0,14.0,8,5,1.8,1,1920,1080,1,2.5,40,256,0,3,2,41,1986.11
4,127,3,15.6,16,5,2.3,1,1920,1080,1,2.7,47,256,0,3,0,75,1405.71
6,225,0,13.3,8,5,1.26,1,1920,1080,1,1.6,38,256,0,3,2,80,1664.8
4,300,4,13.3,8,5,1.29,1,1920,1080,1,2.7,47,256,0,3,2,45,1735.02
4,300,4,13.3,16,5,1.2,2,3200,1800,1,1.8,54,512,0,3,2,80,2224.11
6,177,4,15.6,8,5,1.83,1,1920,1080,1,1.8,54,256,0,3,3,22,831.81
0,44,3,14.0,4,1,1.45,3,1366,768,1,1.6,12,32,0,0,2,39,446.25
8,105,3,15.6,4,4,2.2,1,1920,1080,1,2.5,33,1024,0,1,3,5,593.81
2,217,1,17.3,8,5,3.2,1,1920,1080,0,3.2,62,256,1024,3,0,79,2017.05
8,261,3,14.0,8,5,1.7,1,1920,1080,1,2.5,34,256,0,3,2,47,1754.06
6,195,3,15.6,4,5,1.63,3,1366,768,1,2.0,24,128,0,3,2,41,819.91
4,146,3,14.0,4,5,1.76,3,1366,768,1,2.0,24,500,0,1,2,41,696.15
6,312,5,15.6,8,7,1.9,1,1920,1080,1,2.5,40,256,0,3,0,0,1779.05
6,169,1,15.6,12,5,2.62,1,1920,1080,1,2.8,50,128,1024,3,3,13,1486.31
11,231,4,13.5,4,6,1.252,3,2256,1504,1,2.2,23,128,0,3,2,44,1176.91
6,1,3,15.6,4,5,1.86,3,1366,768,0,1.8,57,500,0,1,0,65,353.43
8,103,3,15.6,4,5,2.2,3,1366,768,1,1.1,61,1024,0,1,2,38,367.71
6,59,4,12.5,8,5,0.97,0,3840,2160,1,1.2,20,512,0,3,2,40,2396.66
14,234,3,14.0,4,5,1.75,3,1366,768,1,2.3,29,128,0,3,2,41,1213.8
9,85,1,15.6,8,5,2.4,1,1920,1080,1,2.8,50,128,1024,3,3,13,1359.93
8,97,3,15.6,4,4,2.2,1,1920,1080,1,2.0,24,1024,0,1,2,41,558.11
4,23,3,17.3,8,5,4.42,1,1920,1080,1,2.7,50,1024,0,1,3,16,2434.74
0,28,3,15.6,4,5,2.2,1,1920,1080,1,1.6,38,256,0,3,2,80,811.58
8,271,3,15.6,4,4,2.1,3,1366,768,1,2.3,29,500,0,1,2,41,473.62
0,26,3,15.6,8,5,2.2,3,1366,768,0,2.5,0,1024,0,1,0,77,689.01
6,311,5,15.6,8,7,2.59,1,1920,1080,1,2.6,43,256,0,3,3,54,1857.59
8,257,3,15.6,8,5,2.67,1,1920,1080,1,2.9,52,256,0,3,3,57,2487.1
8,99,3,15.6,6,5,2.4,1,1920,1080,1,2.5,33,1024,0,1,2,45,671.16
4,127,3,15.6,8,5,2.36,3,1366,768,1,2.7,47,1024,0,1,0,75,891.31
2,296,3,15.6,8,2,2.3,1,1920,1080,1,2.4,26,1024,0,1,3,10,710.43
4,134,1,15.6,16,5,2.6,1,1920,1080,1,2.8,50,128,1024,3,3,14,1605.31
4,134,1,15.6,8,5,2.62,0,3840,2160,1,2.8,50,128,1024,3,3,14,1782.62
0,35,3,17.3,8,5,3.3,3,1600,900,1,2.0,24,1024,0,1,3,10,748.51
8,252,3,13.3,8,5,1.4,1,1920,1080,1,2.7,47,256,0,3,2,45,1201.9
4,300,4,13.3,8,5,1.23,2,3200,1800,1,1.6,38,256,0,3,2,80,2224.11
8,251,0,13.3,8,5,1.37,1,1920,1080,1,2.5,33,512,0,3,2,45,2171.75
4,289,3,15.6,8,5,2.18,1,1920,1080,1,2.5,33,256,0,3,2,45,892.5
1,159,4,13.3,8,3,1.35,3,1440,900,1,1.6,28,128,0,0,2,43,1307.81
9,80,1,15.6,8,5,2.2,1,1920,1080,1,2.5,34,128,1024,3,3,13,1295.91
8,248,4,14.0,8,5,1.32,1,1920,1080,1,2.5,33,256,0,3,2,45,2140.81
4,128,3,15.6,8,5,2.36,1,1920,1080,1,1.8,54,128,1024,3,0,61,1165.01
4,132,3,17.3,16,5,2.8,1,1920,1080,1,1.8,54,256,2048,3,0,61,1661.24
4,290,3,15.6,8,5,2.18,1,1920,1080,1,2.7,47,256,0,3,3,10,1201.78
9,90,1,15.6,16,5,1.8,1,1920,1080,1,2.8,50,256,1024,3,3,16,2492.43
9,91,1,15.6,16,5,2.94,1,1920,1080,1,2.6,43,256,1024,3,3,16,2164.61
4,190,5,15.6,16,5,2.17,1,1920,1080,1,2.7,45,256,0,3,3,58,2350.25
4,133,1,15.6,16,5,2.72,0,3840,2160,1,2.6,43,128,1024,3,3,26,1307.81
4,301,3,15.6,8,5,2.0,1,1920,1080,1,2.8,50,256,0,3,3,13,2176.51
2,297,3,15.6,4,4,2.45,3,1366,768,1,2.3,31,1024,0,1,3,23,689.01
4,289,3,15.6,4,2,2.18,1,1920,1080,1,2.5,33,128,0,3,0,71,677.11
6,313,5,17.3,8,5,3.14,3,1600,900,1,2.8,36,500,0,1,3,55,2214.58
4,190,5,15.6,8,5,2.23,1,1920,1080,1,3.0,64,64,1024,0,3,58,2371.67
4,127,3,15.6,8,5,2.36,1,1920,1080,1,2.5,33,256,0,3,0,75,1057.91
8,306,0,13.3,8,5,1.3,2,3200,1800,1,1.8,30,256,0,3,2,42,1426.81
4,147,3,15.6,4,5,2.06,3,1366,768,1,2.3,25,500,0,1,2,41,573.56
6,313,5,17.3,8,7,3.0,1,1920,1080,1,2.6,43,1024,0,1,0,1,3449.81
2,209,1,17.3,16,5,4.0,1,1920,1080,1,2.6,43,128,1024,3,3,28,2261.0
6,19,3,15.6,4,5,1.86,3,1366,768,1,2.5,33,1024,0,1,2,45,581.54
4,135,4,15.6,8,5,1.9,1,1920,1080,1,1.6,38,128,1024,3,3,10,1248.31
16,163,3,15.6,16,4,1.95,1,1920,1080,1,1.8,54,256,0,3,3,33,1665.94
8,269,3,15.6,4,4,1.9,3,1366,768,1,2.0,24,1024,0,1,2,41,403.41
12,40,1,17.3,32,5,3.49,0,3840,2160,1,2.9,51,1024,0,3,3,19,7257.81
4,129,1,15.6,16,5,2.56,1,1920,1080,1,2.8,50,512,0,3,3,13,1486.62
6,196,3,15.6,8,5,2.1,1,1920,1080,1,2.4,26,1024,0,1,3,9,852.04
4,121,3,15.6,6,5,2.3,3,1366,768,1,2.4,26,1024,0,1,2,45,522.41
1,159,4,11.6,4,3,1.08,3,1366,768,1,1.6,28,256,0,0,2,43,1141.21
1,160,4,13.3,8,8,1.37,3,2560,1600,1,2.9,28,512,0,3,2,49,2331.09
2,212,1,15.6,16,5,2.34,1,1920,1080,1,2.6,43,256,1024,3,3,17,2766.75
4,289,3,15.6,8,5,2.18,3,1366,768,1,2.5,33,128,0,3,2,45,849.65
8,102,3,15.6,4,5,2.2,3,1366,768,0,2.2,59,128,0,3,0,65,415.31
13,167,4,13.3,8,5,0.81,1,1920,1080,1,2.5,33,256,0,3,2,45,1783.81
8,249,0,14.0,8,5,1.27,3,2560,1440,1,2.5,40,256,0,3,2,41,2783.41
8,255,3,15.6,8,5,2.3,1,1920,1080,1,2.3,29,256,0,3,2,41,1249.02
4,121,3,15.6,8,2,2.2,1,1920,1080,1,2.7,47,1024,0,1,0,73,713.88
2,205,1,17.3,32,5,4.7,1,1920,1080,1,2.9,51,512,1024,3,3,19,4629.1
8,307,4,12.5,8,5,0.99,3,2560,1440,1,1.2,20,512,0,3,2,40,1664.81
4,138,3,17.3,16,5,2.77,1,1920,1080,1,1.8,54,512,0,3,3,3,1843.31
6,20,3,15.6,4,5,1.86,3,1366,768,0,2.5,3,256,0,3,0,67,439.11
4,130,0,15.6,16,5,2.09,1,1920,1080,1,2.7,47,512,0,3,2,45,1403.01
6,19,3,15.6,4,4,1.86,3,1366,768,1,2.0,24,500,0,1,2,41,434.23
8,277,3,15.6,4,4,2.15,1,1920,1080,1,2.3,29,1024,0,1,2,41,550.2
14,185,4,13.3,16,5,1.2,1,1920,1080,1,2.5,40,512,0,3,2,41,2078.93
0,28,3,15.6,8,5,2.2,1,1920,1080,1,1.8,54,256,0,3,3,33,1000.79
1,158,4,12.0,8,3,0.92,3,2304,1440,1,1.1,18,256,0,0,2,40,1547.0
0,36,3,15.6,4,2,2.4,3,1366,768,1,2.5,33,500,0,1,2,45,525.74
8,99,3,15.6,8,4,2.2,1,1920,1080,1,2.7,47,1024,0,1,3,5,815.15
7,162,4,13.0,8,5,1.05,1,2160,1440,1,2.5,33,256,0,3,2,45,1605.31
6,168,1,17.3,8,5,3.35,1,1920,1080,1,2.3,31,128,1024,3,3,16,1343.51
4,191,5,17.3,16,5,3.42,1,1920,1080,1,2.9,52,256,0,3,3,55,3432.98
6,200,3,13.3,4,5,1.49,3,1366,768,1,2.4,26,500,0,1,2,45,952.0
2,293,3,15.6,4,2,2.0,3,1366,768,1,1.1,15,1024,0,1,2,37,327.24
10,222,3,13.3,4,5,1.2,1,1920,1080,1,1.1,16,32,0,3,2,37,439.11
6,228,2,11.6,2,5,1.17,3,1366,768,1,1.6,14,32,0,0,2,35,248.71
8,308,0,14.0,16,5,1.38,1,1920,1080,1,2.7,47,512,0,3,2,45,2081.31
8,306,0,13.3,16,5,1.3,2,3200,1800,1,2.2,41,1024,0,3,2,48,2140.81
6,19,3,15.6,8,5,1.86,1,1920,1080,1,2.0,24,256,0,3,2,41,641.41
8,154,1,15.6,16,5,2.4,1,1920,1080,1,2.8,50,256,2048,3,3,14,1343.51
8,261,4,14.0,8,5,1.7,1,2560,1440,1,2.8,50,512,0,3,3,12,2312.17
8,240,3,14.0,8,5,1.75,1,1920,1080,1,1.6,38,256,0,3,0,78,1328.06
8,155,1,15.6,8,5,3.2,1,1920,1080,1,2.8,50,1024,0,1,3,16,1545.81
4,136,1,15.6,8,5,2.65,1,1920,1080,1,2.5,34,1024,0,1,3,13,1188.81
6,13,3,15.6,4,5,2.1,1,1920,1080,0,2.5,3,1024,0,1,0,66,473.62
8,244,3,17.3,16,7,2.4,0,3840,2160,1,2.7,45,512,0,3,3,53,3531.92
9,87,1,15.6,8,5,2.2,1,1920,1080,1,2.8,50,128,1024,3,3,13,1426.81
6,57,3,14.0,8,5,1.48,1,1920,1080,1,2.6,35,256,0,3,2,45,1508.92
8,267,3,15.6,4,5,2.1,3,1366,768,1,1.6,12,500,0,1,2,39,378.42
8,154,1,15.6,8,5,2.5,1,1920,1080,1,2.8,50,128,1024,3,3,14,1486.31
14,219,3,15.6,8,5,2.2,3,1366,768,1,2.5,40,500,0,1,3,7,966.28
8,113,1,15.6,8,5,2.6,1,1920,1080,1,2.6,43,128,1024,3,3,25,1513.68
4,137,0,15.6,12,5,2.19,1,1920,1080,1,2.7,47,512,0,3,2,45,1545.81
2,204,0,15.6,16,5,2.3,0,3840,2160,1,2.7,47,512,2048,3,3,23,2140.81
14,187,3,13.3,8,7,1.2,1,1920,1080,1,2.3,29,256,0,3,2,41,1737.4
8,113,1,15.6,16,5,3.31,1,1920,1080,1,2.6,43,512,0,3,3,24,1552.95
2,286,4,15.6,8,5,1.7,1,1920,1080,1,2.7,47,256,0,3,3,10,1249.38
8,97,3,15.6,8,5,2.29,3,1366,768,1,2.3,25,1024,0,1,2,41,546.21
9,81,1,15.6,8,5,2.2,1,1920,1080,1,2.8,50,128,1024,3,3,14,1418.24
6,198,5,15.6,8,5,2.31,1,1920,1080,1,2.9,52,512,0,3,2,45,1825.46
5,156,3,15.6,8,5,2.2,3,1366,768,1,2.5,33,256,0,3,2,45,950.81
2,51,3,14.0,4,6,1.65,3,1366,768,0,1.5,56,64,0,3,0,64,330.81
8,242,3,14.0,8,5,1.9,1,1920,1080,1,2.5,33,256,0,3,2,45,1116.22
6,11,3,15.6,4,5,2.1,1,1920,1080,1,2.0,24,1024,0,1,2,41,568.82
4,134,1,15.6,8,5,2.62,1,1920,1080,1,2.8,50,1024,0,1,3,13,1307.81
4,129,1,15.6,8,5,2.56,1,1920,1080,1,2.5,34,1024,0,1,3,13,974.61
8,103,3,15.6,4,4,2.2,3,1366,768,1,1.1,61,1024,0,1,2,38,428.39
13,49,0,12.3,4,1,1.15,3,2400,1600,2,2.0,55,32,0,0,1,52,784.21
8,154,1,15.6,16,5,2.5,1,1920,1080,1,2.8,50,256,0,3,3,14,1284.01
6,55,4,14.0,8,7,1.43,1,1920,1080,1,2.6,42,256,0,3,2,41,1724.31
8,274,3,15.6,4,5,1.85,1,1920,1080,1,2.7,47,1024,0,1,2,45,927.01
1,160,4,15.4,16,8,1.83,3,2880,1800,1,2.7,39,512,0,3,0,62,3019.57
6,313,5,17.3,8,5,3.14,1,1920,1080,1,2.8,50,500,0,1,3,55,2270.51
8,39,3,15.6,4,7,2.32,1,1920,1080,1,2.5,40,1024,0,2,2,41,981.75
4,301,3,15.6,8,5,2.0,1,1920,1080,1,2.8,50,256,0,3,3,13,2165.8
6,19,3,15.6,8,5,1.86,1,1920,1080,1,2.5,33,1024,0,1,2,45,760.41
4,121,3,15.6,4,2,2.25,3,1366,768,1,2.0,24,1024,0,1,0,73,554.09
4,149,3,14.0,8,5,1.6,1,1920,1080,1,2.5,33,128,0,3,2,46,1331.61
6,194,3,13.3,8,5,1.49,1,1920,1080,1,1.8,54,512,0,3,2,80,1312.57
1,158,4,12.0,8,8,0.92,3,2304,1440,1,1.3,28,512,0,3,2,44,1796.9
6,14,3,15.6,6,5,1.95,1,1920,1080,0,3.0,7,256,0,3,0,61,772.31
4,135,3,15.6,8,5,2.0,1,1920,1080,1,1.6,38,256,0,3,3,10,1359.87
6,43,2,11.6,4,1,1.23,3,1366,768,1,1.6,14,16,0,0,2,35,458.15
8,302,2,11.6,4,5,1.59,3,1366,768,1,1.1,16,128,0,3,2,37,658.07
2,299,3,17.3,4,5,2.8,3,1600,900,1,1.6,60,1024,0,1,3,5,630.7
6,62,2,12.5,8,5,1.26,1,1920,1080,1,2.7,47,512,0,3,2,45,1764.77
4,149,4,14.0,8,2,1.6,1,1920,1080,1,2.8,48,256,0,3,2,45,1307.81
8,113,1,15.6,16,5,2.6,1,1920,1080,1,2.6,43,128,1024,3,3,26,1224.51
6,196,3,15.6,4,5,2.1,1,1920,1080,1,2.4,26,128,0,3,2,45,839.54
6,16,3,17.3,4,5,2.5,1,1920,1080,1,2.0,24,256,0,3,0,69,831.81
4,300,4,13.3,8,5,1.2,1,1920,1080,1,1.6,38,256,0,3,2,80,1725.38
6,6,3,15.6,6,5,2.04,3,1920,1080,1,2.0,24,1024,0,1,0,73,641.41
4,301,3,15.6,32,5,2.06,0,3840,2160,1,2.8,50,1024,0,3,3,13,3140.41
6,224,4,13.3,8,5,1.32,1,1920,1080,1,2.7,47,256,0,3,2,45,1664.81
8,107,3,17.3,6,5,2.8,3,1600,900,1,2.7,47,128,1024,3,3,10,1022.21
4,121,3,15.6,8,2,2.2,1,1920,1080,1,2.7,47,256,0,3,0,73,891.32
4,121,3,15.6,4,2,2.25,3,1366,768,1,2.0,24,1024,0,1,2,41,427.21
2,285,3,17.3,8,5,2.1,1,1920,1080,1,1.8,54,128,1024,3,3,3,1362.55
2,67,1,15.6,8,5,2.24,1,1920,1080,1,2.8,50,128,1024,3,3,31,1593.41
8,249,3,14.0,16,7,1.1,3,2560,1440,1,2.6,42,256,0,3,2,41,3117.8
0,265,3,13.3,4,5,1.6,3,1366,768,1,2.3,29,128,0,3,2,41,779.45
6,195,3,14.0,8,5,1.63,1,1920,1080,1,1.6,38,256,0,3,2,45,1023.4
8,262,4,14.0,16,5,1.1,2,2560,1440,1,2.6,42,512,0,3,2,41,2497.81
8,276,3,15.6,4,4,1.9,3,1366,768,1,2.0,24,500,0,1,2,41,535.5
6,65,4,13.3,8,5,1.38,1,1920,1080,1,2.7,47,256,0,3,3,33,1331.61
8,249,0,14.0,8,5,1.42,3,2560,1440,1,2.5,33,256,0,3,2,45,2772.7
2,208,1,17.3,16,5,4.3,1,1920,1080,1,2.6,43,256,1024,3,3,17,2796.5
9,92,1,15.6,16,5,2.94,1,1920,1080,1,2.8,50,256,1024,3,3,17,2698.75
0,32,3,14.0,8,5,2.1,3,1366,768,1,2.0,24,1024,0,1,2,41,462.91
8,154,1,15.6,8,5,2.5,1,1920,1080,1,2.8,50,128,1024,3,3,15,1319.71
4,127,3,15.6,8,5,2.5,3,1366,768,1,2.5,33,1024,0,1,0,75,932.96
8,73,0,14.0,8,5,1.7,1,1920,1080,1,2.5,33,256,0,3,2,45,1188.81
2,321,3,14.0,8,5,2.0,1,1920,1080,1,2.5,33,256,0,3,2,45,1124.55
0,53,3,15.6,8,5,2.23,1,1920,1080,0,2.2,4,256,0,3,0,68,558.11
8,98,3,14.0,4,5,1.44,3,1366,768,1,1.1,15,32,0,0,2,37,347.48
8,117,3,15.6,4,5,2.2,1,1920,1080,1,2.0,24,1024,0,1,3,6,689.01
4,121,3,15.6,4,5,2.2,1,1920,1080,1,2.0,24,256,0,3,0,73,593.69
4,146,3,14.0,4,5,1.76,3,1366,768,1,2.3,29,500,0,1,2,41,898.45
6,9,3,15.6,8,5,2.04,3,1366,768,1,2.5,33,1024,0,1,2,45,665.21
6,201,3,14.0,4,5,1.64,3,1366,768,1,2.4,26,500,0,1,2,45,813.96
6,58,3,15.6,8,5,1.84,1,1920,1080,1,2.4,32,256,0,3,2,41,2261.0
4,149,3,14.0,8,5,1.6,3,1366,768,1,2.5,33,256,0,3,2,45,1340.78
4,148,3,15.6,4,5,1.95,3,1366,768,1,2.3,29,500,0,1,2,41,868.58
6,194,3,13.3,4,5,1.49,1,1920,1080,1,1.6,38,500,0,1,2,80,897.26
3,144,3,12.3,6,5,1.4,3,2736,1824,1,1.1,16,64,0,0,2,37,534.31
0,34,3,15.6,8,5,2.23,1,1920,1080,1,2.7,47,1024,0,1,3,10,882.98
4,128,3,15.6,8,5,2.2,1,1920,1080,1,1.6,38,128,1024,3,0,61,855.61
4,121,3,15.6,8,5,2.3,3,1366,768,1,2.4,26,1024,0,1,2,45,558.12
10,220,3,14.0,2,5,1.4,1,1920,1080,1,1.44,9,32,0,0,2,34,284.41
4,301,3,15.6,8,5,2.04,0,3840,2160,1,2.3,31,256,0,3,3,11,2678.31
4,289,3,15.6,4,5,2.29,3,1366,768,1,2.0,24,500,0,1,2,41,583.1
4,289,3,15.6,4,5,2.18,3,1366,768,1,2.4,26,128,0,3,2,45,650.93
4,301,3,15.6,16,5,2.06,0,3840,2160,1,2.8,50,512,0,3,3,13,2852.43
8,250,4,12.5,8,5,1.36,1,1920,1080,1,2.6,35,256,0,3,2,45,2094.4
12,41,4,12.5,8,5,1.25,0,3840,2160,1,2.5,40,256,0,3,2,41,1224.51
2,282,2,11.6,2,5,1.1,3,1366,768,1,1.1,15,32,0,0,2,37,291.55
8,112,3,14.0,8,5,1.5,1,1920,1080,1,2.5,33,256,0,3,3,10,1307.81
8,103,3,15.6,4,5,2.2,1,1920,1080,1,1.1,61,500,0,1,2,38,409.36
2,70,1,17.3,8,5,3.0,1,1920,1080,1,2.8,50,128,1024,3,3,13,1389.92
15,139,3,14.0,4,5,1.22,3,1920,1080,1,1.1,15,32,0,0,2,37,241.45
0,31,3,15.6,8,2,2.5,1,1920,1080,1,2.8,50,256,0,3,3,14,1165.01
4,153,3,15.6,8,7,2.09,1,1920,1080,1,2.4,32,256,0,3,2,41,1264.91
0,218,0,14.0,8,5,1.2,1,1920,1080,1,1.3,53,256,0,3,2,44,1367.31
4,152,4,14.0,8,5,1.36,1,1920,1080,1,2.8,48,256,0,3,2,45,2112.25
8,99,3,15.6,6,5,2.4,1,1920,1080,1,2.5,33,256,0,3,3,5,827.05
6,197,3,17.3,8,5,2.5,1,1920,1080,1,1.6,38,1024,0,1,3,8,1087.66
8,107,3,17.3,6,5,2.8,3,1600,900,1,2.5,33,128,1024,3,3,22,855.61
8,102,3,15.6,4,5,2.2,3,1366,768,0,2.2,58,500,0,1,0,65,355.81
9,145,1,17.3,16,5,4.14,1,1920,1080,1,2.7,44,128,1024,3,3,28,2616.81
